"egyptianculture","sub","wikidata"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Griffin","http://www.wikidata.org/entity/Q130223"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Ammit","http://www.wikidata.org/entity/Q131483"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Sphinx","http://www.wikidata.org/entity/Q151480"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Set_animal","http://www.wikidata.org/entity/Q3945272"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Medjed_(fish)","http://www.wikidata.org/entity/Q25203205"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Abtu","http://www.wikidata.org/entity/Q2298292"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Bennu","http://www.wikidata.org/entity/Q818378"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Hieracosphinx","http://www.wikidata.org/entity/Q1511880"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Serpopard","http://www.wikidata.org/entity/Q499356"
"http://dbpedia.org/resource/Category:Egyptian_legendary_creatures","http://dbpedia.org/resource/Category:Egyptian_folklore",
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Disney's_Aladdin_in_Nasira's_Revenge","http://www.wikidata.org/entity/Q2642660"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Everworld","http://www.wikidata.org/entity/Q2724213"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Hawkgirl","http://www.wikidata.org/entity/Q2210354"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Hawkgirl_(Kendra_Saunders)","http://www.wikidata.org/entity/Q47542643"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Martin_Mystère","http://www.wikidata.org/entity/Q684109"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/House_of_Anubis","http://www.wikidata.org/entity/Q772923"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/American_Gods","http://www.wikidata.org/entity/Q430514"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/The_Mummy_(TV_series)","http://www.wikidata.org/entity/Q1214882"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/The_Mummy_Returns","http://www.wikidata.org/entity/Q320461"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/The_Nine_Lives_of_Chloe_King","http://www.wikidata.org/entity/Q1784774"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Sisters_of_Isis","http://www.wikidata.org/entity/Q7531335"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Shiera_Sanders_Hall","http://www.wikidata.org/entity/Q47542610"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Imprisoned_with_the_Pharaohs","http://www.wikidata.org/entity/Q7883361"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Stargate_SG-1","http://www.wikidata.org/entity/Q187462"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/The_Anubis_Tapestry","http://www.wikidata.org/entity/Q17512042"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Hawkman_(Carter_Hall)","http://www.wikidata.org/entity/Q3783773"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Mythology_in_Rick_Riordan's_works","http://www.wikidata.org/entity/Q22907154"
"http://dbpedia.org/resource/Category:Egyptian_mythology_in_popular_culture","http://dbpedia.org/resource/Woodstock_Mural","http://www.wikidata.org/entity/Q22909812"
"http://dbpedia.org/resource/Category:Locations_in_Egyptian_mythology","http://dbpedia.org/resource/Land_of_Manu","http://www.wikidata.org/entity/Q39050588"
"http://dbpedia.org/resource/Category:Works_about_ancient_Egypt","http://dbpedia.org/resource/From_Atlantis_to_the_Sphinx","http://www.wikidata.org/entity/Q3700645"
"http://dbpedia.org/resource/Category:Works_about_ancient_Egypt","http://dbpedia.org/resource/The_Revelation_of_the_Pyramids","http://www.wikidata.org/entity/Q20649610"
"http://dbpedia.org/resource/Category:Works_about_ancient_Egypt","http://dbpedia.org/resource/Annals_of_Thutmose_III","http://www.wikidata.org/entity/Q4767870"
"http://dbpedia.org/resource/Category:Works_about_ancient_Egypt","http://dbpedia.org/resource/The_Quarrel_of_Apophis_and_Seqenenre",
